Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
228	3.28E+01	844.81	0.0011837	-297620	-297620	-1028.7	1643.4	2027.9	1408.3	-4.47E-07	0.0057793	0.18247	0.027987	0.00079748	1253.9	646740	687890	3293.7	1020.4	1201	220.06	0.00047027	6.57E-06	0.0095437
229	3.64E+01	843.95	0.0011849	-295590	-295590	-1019.8	1647.5	2031.7	1404	-4.46E-07	0.0056117	0.1821	0.027886	0.00088151	1134.4	647770	689090	3280.1	1023.2	1203.8	220.49	0.00046092	6.61E-06	0.0096134
230	4.04E+01	843.09	0.0011861	-293560	-293550	-1010.9	1651.8	2035.5	1399.7	-4.45E-07	0.0054501	0.18174	0.027786	0.00097344	1027.3	648790	690290	3266.7	1025.9	1206.5	220.93	0.00045178	6.64E-06	0.0096834
231	4.48E+01	842.22	0.0011873	-291520	-291520	-1002.1	1656	2039.4	1395.4	-4.44E-07	0.0052942	0.18137	0.027686	0.0010739	931.16	649810	691500	3253.4	1028.7	1209.3	221.36	0.00044286	6.67E-06	0.0097538
232	4.96E+01	841.36	0.0011886	-289480	-289480	-993.27	1660.3	2043.3	1391.2	-4.43E-07	0.0051438	0.18101	0.027587	0.0011837	844.83	650840	692710	3240.3	1031.4	1212.1	221.8	0.00043413	6.70E-06	0.0098244
233	5.48E+01	840.5	0.0011898	-287430	-287430	-984.47	1664.7	2047.3	1386.9	-4.42E-07	0.0049987	0.18066	0.027489	0.0013034	767.23	651870	693920	3227.3	1034.2	1214.9	222.23	0.00042561	0.000006733	0.0098954
234	6.05E+01	839.64	0.001191	-285380	-285380	-975.7	1669.2	2051.4	1382.7	-4.41E-07	0.0048586	0.18031	0.027392	0.0014339	697.4	652910	695130	3214.5	1037	1217.7	222.66	0.00041728	6.76E-06	0.0099667
235	6.68E+01	838.78	0.0011922	-283330	-283330	-966.94	1673.7	2055.6	1378.5	-4.40E-07	0.0047233	0.17996	0.027295	0.001576	634.5	653940	696350	3201.9	1039.9	1220.6	223.09	0.00040914	6.80E-06	0.010038
236	7.37E+01	837.92	0.0011934	-281270	-281270	-958.2	1678.2	2059.8	1374.3	-4.39E-07	0.0045926	0.17961	0.027199	0.0017307	577.8	654980	697570	3189.4	1042.7	1223.4	223.52	0.00040118	6.83E-06	0.01011
237	8.12E+01	837.06	0.0011947	-279210	-279210	-949.48	1682.8	2064.1	1370.1	-4.38E-07	0.0044664	0.17927	0.027103	0.0018989	526.63	656020	698790	3177.1	1045.5	1226.3	223.94	0.0003934	0.00000686	0.010182
238	8.94E+01	836.2	0.0011959	-277140	-277140	-940.78	1687.5	2068.4	1365.9	-4.37E-07	0.0043445	0.17893	0.027008	0.0020815	480.41	657070	700010	3164.9	1048.4	1229.2	224.37	0.0003858	6.89E-06	0.010255
239	9.83E+01	835.34	0.0011971	-275070	-275070	-932.1	1692.2	2072.8	1361.7	-4.36E-07	0.0042266	0.1786	0.026914	0.0022798	438.63	658110	701240	3152.9	1051.3	1232	224.79	0.00037837	6.92E-06	0.010328
240	1.08E+02	834.49	0.0011983	-273000	-273000	-923.44	1697	2077.3	1357.5	-4.35E-07	0.0041127	0.17826	0.026821	0.0024948	400.83	659160	702470	3141	1054.1	1234.9	225.22	0.0003711	6.96E-06	0.010401
241	1.19E+02	833.63	0.0011996	-270920	-270920	-914.79	1701.8	2081.8	1353.4	-4.34E-07	0.0040025	0.17793	0.026728	0.0027278	366.59	660210	703700	3129.3	1057	1237.9	225.64	0.000364	6.99E-06	0.010475
242	1.30E+02	832.78	0.0012008	-268830	-268830	-906.16	1706.6	2086.4	1349.2	-4.33E-07	0.003896	0.17761	0.026635	0.0029801	335.56	661270	704930	3117.7	1059.9	1240.8	226.06	0.00035705	7.02E-06	0.010549
243	1.43E+02	831.92	0.001202	-266740	-266740	-897.55	1711.5	2091	1345.1	-4.31E-07	0.003793	0.17729	0.026544	0.003253	307.41	662330	706170	3106.2	1062.9	1243.7	226.48	0.00035026	7.05E-06	0.010623
