Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
295.19	608650	1217.8	0.00082115	229850	230350	1105.9	907.78	1412.7	520.17	-4.31E-08	0.00020218	0.082406	0.0084786	29.576	0.033812	390240	410820	1717.3	827.41	1013	144.81	0.000026317	1.16E-05	0.013532
295.53	614980	1216.5	0.000822	230320	230830	1107.5	908.25	1414	518.6	-4.06E-08	0.00020133	0.082259	0.0084326	29.884	0.033462	390410	410990	1717.2	828.47	1015.1	144.75	0.000026237	1.16E-05	0.013566
295.87	621370	1215.3	0.00082286	230800	231310	1109.1	908.72	1415.4	517.02	-3.80E-08	0.00020048	0.082113	0.0083866	30.196	0.033117	390590	411170	1717	829.54	1017.2	144.69	0.000026156	1.16E-05	0.013599
296.21	627810	1214	0.00082372	231270	231790	1110.8	909.19	1416.7	515.45	-3.55E-08	0.00019963	0.081966	0.0083407	30.51	0.032776	390770	411340	1716.9	830.62	1019.3	144.63	0.000026077	1.16E-05	0.013633
296.55	634290	1212.7	0.00082459	231750	232280	1112.4	909.66	1418.1	513.87	-3.29E-08	0.00019879	0.08182	0.0082949	30.827	0.032439	390940	411520	1716.8	831.69	1021.5	144.56	0.000025998	1.16E-05	0.013666
296.89	640830	1211.4	0.00082546	232230	232760	1114	910.12	1419.5	512.29	-3.03E-08	0.00019795	0.081674	0.008249	31.147	0.032106	391120	411690	1716.7	832.76	1023.6	144.5	0.000025919	1.16E-05	0.0137
297.23	647420	1210.2	0.00082633	232710	233240	1115.6	910.6	1420.8	510.71	-2.76E-08	0.00019712	0.081527	0.0082033	31.469	0.031777	391290	411870	1716.6	833.84	1025.8	144.43	0.000025842	1.17E-05	0.013734
297.57	654060	1208.9	0.00082721	233190	233730	1117.2	911.07	1422.2	509.14	-2.49E-08	0.00019628	0.081381	0.0081576	31.794	0.031452	391470	412040	1716.4	834.91	1027.9	144.37	0.000025764	1.17E-05	0.013767
297.92	660750	1207.6	0.00082809	233660	234210	1118.8	911.54	1423.6	507.56	-2.23E-08	0.00019545	0.081235	0.0081119	32.123	0.031131	391650	412210	1716.3	835.99	1030.1	144.3	0.000025688	1.17E-05	0.013801
298.26	667490	1206.3	0.00082897	234140	234700	1120.4	912.01	1425.1	505.98	-1.96E-08	0.00019463	0.081089	0.0080663	32.453	0.030813	391820	412390	1716.2	837.07	1032.3	144.24	0.000025611	1.17E-05	0.013835
298.6	674280	1205	0.00082986	234620	235180	1122	912.49	1426.5	504.4	-1.68E-08	0.00019381	0.080943	0.0080208	32.787	0.0305	391990	412560	1716.1	838.15	1034.5	144.17	0.000025536	1.17E-05	0.013869
298.94	681130	1203.7	0.00083076	235100	235670	1123.6	912.96	1427.9	502.82	-1.41E-08	0.00019299	0.080797	0.0079753	33.124	0.03019	392170	412730	1715.9	839.23	1036.8	144.1	0.000025461	1.17E-05	0.013904
299.28	688020	1202.4	0.00083165	235580	236160	1125.2	913.44	1429.3	501.24	-1.13E-08	0.00019217	0.080651	0.0079298	33.463	0.029883	392340	412900	1715.8	840.32	1039	144.03	0.000025386	1.17E-05	0.013938
