Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
213.37	11330	1400.1	0.00071424	124100	124110	687.53	838.62	1231.3	911.79	-3.5694E-07	0.00059142	0.10649	0.02165	0.7343	1.3618	326450	341880	1708.1	656.9	732.61	130.64	0.000051136	7.04E-06	0.0069173
213.71	11587	1399.2	0.00071468	124520	124530	689.49	838.83	1231.6	910.23	-3.5651E-07	0.0005886	0.10635	0.021595	0.74989	1.3335	326660	342120	1707.6	657.6	733.37	130.72	0.000050935	7.06E-06	0.0069445
214.05	11849	1398.4	0.00071512	124940	124950	691.45	839.04	1231.8	908.67	-3.5606E-07	0.00058579	0.1062	0.021539	0.76575	1.3059	326880	342360	1707.1	658.31	734.13	130.8	0.000050735	7.08E-06	0.0069716
214.39	12116	1397.5	0.00071556	125360	125370	693.4	839.25	1232.1	907.11	-3.5562E-07	0.000583	0.10606	0.021483	0.78188	1.279	327100	342600	1706.6	659.02	734.89	130.88	0.000050536	7.10E-06	0.0069988
214.73	12388	1396.7	0.000716	125780	125790	695.35	839.47	1232.4	905.55	-3.5517E-07	0.00058023	0.10592	0.021428	0.79829	1.2527	327320	342840	1706.1	659.72	735.65	130.96	0.000050338	7.12E-06	0.0070259
215.07	12665	1395.8	0.00071644	126200	126210	697.3	839.68	1232.7	903.99	-3.5472E-07	0.00057747	0.10578	0.021372	0.81497	1.227	327540	343080	1705.7	660.42	736.41	131.05	0.000050142	7.15E-06	0.0070531
215.41	12947	1394.9	0.00071688	126620	126630	699.25	839.9	1233	902.43	-3.5426E-07	0.00057472	0.10564	0.021316	0.83194	1.202	327750	343320	1705.2	661.13	737.17	131.13	0.000049946	7.17E-06	0.0070802
215.75	13235	1394.1	0.00071732	127040	127050	701.19	840.12	1233.3	900.88	-3.5381E-07	0.00057199	0.1055	0.021261	0.84919	1.1776	327970	343560	1704.7	661.83	737.93	131.21	0.000049751	7.19E-06	0.0071073
216.09	13527	1393.2	0.00071776	127460	127470	703.14	840.33	1233.6	899.32	-3.5335E-07	0.00056927	0.10536	0.021205	0.86674	1.1538	328190	343800	1704.3	662.53	738.69	131.29	0.000049557	7.21E-06	0.0071344
216.43	13825	1392.4	0.00071821	127870	127880	705.08	840.55	1233.9	897.76	-3.5288E-07	0.00056656	0.10522	0.02115	0.88457	1.1305	328410	344040	1703.8	663.23	739.45	131.37	0.000049364	7.23E-06	0.0071615
