Temperature (K)	Pressure (Pa)	"Density (l, kg/m3)"	"Volume (l, m3/kg)"	"Internal Energy (l, J/kg)"	"Enthalpy (l, J/kg)"	"Entropy (l, J/kg*K)"	"Cv (l, J/kg*K)"	"Cp (l, J/kg*K)"	"Sound Spd. (l, m/s)"	"Joule-Thomson (l, K/Pa)"	"Viscosity (l, Pa*s)"	"Therm. Cond. (l, W/m*K)"	"Surf. Tension (l, N/m)"	"Density (v, kg/m3)"	"Volume (v, m3/kg)"	"Internal Energy (v, J/kg)"	"Enthalpy (v, J/kg)"	"Entropy (v, J/kg*K)"	"Cv (v, J/kg*K)"	"Cp (v, J/kg*K)"	"Sound Spd. (v, m/s)"	"Joule-Thomson (v, K/Pa)"	"Viscosity (v, Pa*s)"	"Therm. Cond. (v, W/m*K)"
236.66	3.90E+04	1609	0.00062149	160680	160700	846.09	751.24	1040.8	650.02	-3.14E-07	0.00055647	0.075499	0.014385	3.4549	0.28944	289300	300580	1437.1	649.82	707.62	109.3	0.000047729	9.13E-06	0.0090183
237.04	3.97E+04	1607.8	0.00062196	161080	161100	847.77	751.77	1041.4	648.5	-3.13E-07	0.00055339	0.075409	0.014338	3.5206	0.28405	289530	300820	1437.2	650.75	708.68	109.35	0.000047412	9.14E-06	0.0090437
237.42	4.05E+04	1606.6	0.00062244	161470	161500	849.45	752.29	1042.1	646.99	-3.12E-07	0.00055033	0.075318	0.014291	3.5872	0.27877	289760	301070	1437.3	651.69	709.74	109.4	0.000047099	9.15E-06	0.0090691
237.81	4.14E+04	1605.4	0.00062292	161870	161900	851.13	752.82	1042.8	645.47	-3.11E-07	0.0005473	0.075227	0.014244	3.6548	0.27361	289990	301310	1437.4	652.62	710.8	109.45	0.000046789	9.17E-06	0.0090945
238.19	4.22E+04	1604.1	0.0006234	162270	162300	852.8	753.34	1043.5	643.96	-3.10E-07	0.00054428	0.075136	0.014197	3.7234	0.26857	290230	301550	1437.5	653.56	711.86	109.49	0.000046482	9.18E-06	0.00912
238.57	4.30E+04	1602.9	0.00062388	162670	162700	854.48	753.87	1044.1	642.44	-3.09E-07	0.00054129	0.075044	0.01415	3.7931	0.26364	290460	301800	1437.5	654.49	712.92	109.54	0.000046179	9.20E-06	0.0091454
238.96	4.39E+04	1601.6	0.00062436	163070	163100	856.15	754.4	1044.8	640.93	-3.09E-07	0.00053831	0.074953	0.014104	3.8638	0.25881	290690	302040	1437.6	655.43	713.98	109.59	0.000045878	9.21E-06	0.0091709
239.34	4.48E+04	1600.4	0.00062484	163470	163500	857.82	754.92	1045.5	639.42	-3.08E-07	0.00053536	0.074862	0.014057	3.9355	0.2541	290920	302290	1437.7	656.36	715.05	109.63	0.000045581	9.23E-06	0.0091965
239.72	4.56E+04	1599.2	0.00062533	163870	163900	859.49	755.45	1046.2	637.91	-3.07E-07	0.00053242	0.07477	0.01401	4.0083	0.24948	291150	302530	1437.8	657.3	716.11	109.68	0.000045287	9.24E-06	0.009222
240.1	4.65E+04	1597.9	0.00062581	164270	164300	861.16	755.97	1046.9	636.4	-3.06E-07	0.00052951	0.074678	0.013963	4.0821	0.24497	291380	302780	1437.9	658.23	717.18	109.73	0.000044996	9.26E-06	0.0092476
240.49	4.74E+04	1596.7	0.0006263	164670	164700	862.83	756.5	1047.6	634.89	-3.05E-07	0.00052661	0.074587	0.013916	4.157	0.24056	291610	303030	1438	659.16	718.24	109.77	0.000044709	9.27E-06	0.0092732
240.87	4.84E+04	1595.4	0.00062679	165070	165100	864.49	757.03	1048.3	633.38	-3.04E-07	0.00052374	0.074495	0.013869	4.233	0.23624	291850	303270	1438.1	660.1	719.31	109.82	0.000044424	9.29E-06	0.0092989
241.25	4.93E+04	1594.2	0.00062728	165470	165500	866.15	757.55	1049	631.88	-3.03E-07	0.00052088	0.074403	0.013822	4.3101	0.23201	292080	303520	1438.2	661.03	720.38	109.86	0.000044142	9.30E-06	0.0093245
241.63	5.03E+04	1592.9	0.00062777	165870	165900	867.82	758.08	1049.7	630.37	-3.02E-07	0.00051804	0.074311	0.013776	4.3884	0.22788	292310	303760	1438.3	661.96	721.45	109.9	0.000043863	9.32E-06	0.0093502
242.02	5.12E+04	1591.7	0.00062826	166270	166310	869.48	758.6	1050.4	628.87	-3.01E-07	0.00051522	0.074218	0.013729	4.4677	0.22383	292540	304010	1438.5	662.89	722.52	109.95	0.000043587	9.33E-06	0.0093759
242.4	5.22E+04	1590.5	0.00062875	166680	166710	871.13	759.13	1051.1	627.36	-3.00E-07	0.00051242	0.074126	0.013682	4.5481	0.21987	292770	304250	1438.6	663.83	723.59	109.99	0.000043314	9.35E-06	0.0094017
242.78	5.32E+04	1589.2	0.00062925	167080	167110	872.79	759.66	1051.8	625.86	-2.99E-07	0.00050964	0.074034	0.013635	4.6298	0.21599	293010	304500	1438.7	664.76	724.67	110.03	0.000043044	9.36E-06	0.0094274
243.16	5.42E+04	1588	0.00062974	167480	167510	874.45	760.18	1052.5	624.36	-2.98E-07	0.00050687	0.073941	0.013589	4.7125	0.2122	293240	304750	1438.8	665.69	725.74	110.07	0.000042776	9.38E-06	0.0094532
243.55	5.52E+04	1586.7	0.00063024	167880	167920	876.1	760.71	1053.2	622.86	-2.97E-07	0.00050412	0.073848	0.013542	4.7965	0.20849	293470	304990	1438.9	666.62	726.82	110.11	0.000042511	9.39E-06	0.0094791
243.93	5.63E+04	1585.4	0.00063074	168290	168320	877.75	761.23	1053.9	621.36	-2.96E-07	0.00050139	0.073756	0.013495	4.8816	0.20485	293710	305240	1439	667.55	727.9	110.15	0.000042249	9.41E-06	0.0095049
244.31	5.74E+04	1584.2	0.00063124	168690	168720	879.41	761.76	1054.6	619.86	-2.95E-07	0.00049868	0.073663	0.013448	4.9679	0.20129	293940	305480	1439.2	668.48	728.97	110.19	0.00004199	9.42E-06	0.0095308
244.7	5.84E+04	1582.9	0.00063174	169090	169130	881.06	762.28	1055.3	618.36	-2.94E-07	0.00049599	0.07357	0.013402	5.0554	0.19781	294170	305730	1439.3	669.41	730.05	110.23	0.000041733	9.44E-06	0.0095567
245.08	5.95E+04	1581.7	0.00063224	169500	169530	882.7	762.81	1056	616.87	-2.93E-07	0.00049331	0.073477	0.013355	5.1441	0.1944	294410	305980	1439.4	670.34	731.13	110.27	0.000041479	9.45E-06	0.0095827
245.46	6.06E+04	1580.4	0.00063275	169900	169940	884.35	763.34	1056.7	615.37	-2.92E-07	0.00049065	0.073384	0.013308	5.234	0.19106	294640	306220	1439.6	671.27	732.22	110.31	0.000041228	9.47E-06	0.0096086
245.84	6.17E+04	1579.2	0.00063325	170300	170340	886	763.86	1057.4	613.88	-2.91E-07	0.00048801	0.07329	0.013262	5.3252	0.18779	294870	306470	1439.7	672.2	733.3	110.35	0.000040979	9.48E-06	0.0096346
246.23	6.29E+04	1577.9	0.00063376	170710	170750	887.64	764.39	1058.1	612.38	-2.89E-07	0.00048538	0.073197	0.013215	5.4177	0.18458	295110	306720	1439.8	673.13	734.38	110.39	0.000040733	9.50E-06	0.0096606
246.61	6.40E+04	1576.6	0.00063426	171110	171150	889.28	764.91	1058.9	610.89	-2.88E-07	0.00048278	0.073103	0.013168	5.5114	0.18144	295340	306960	1440	674.06	735.47	110.42	0.000040489	9.51E-06	0.0096867
